,index_content,word,nature,content_type,index_word
1272,85,党员,n,pos,1
1274,85,网,n,pos,3
1276,85,农民工,n,pos,5
1291,86,小企业,n,pos,2
1294,86,企业,n,pos,3
1300,86,违法,vn,pos,5
1313,86,报,n,pos,9
1314,86,大厂,n,pos,10
1316,86,企业,n,pos,11
1318,86,名校,n,pos,12
1319,86,学生,n,pos,13
1326,87,大学,n,pos,1
1331,87,真让人,n,pos,4
1333,88,恶心,n,pos,1
1334,90,敌人,n,pos,1
1341,91,张,nr,pos,1
1348,91,事件,n,pos,2
1358,92,热度,n,pos,2
1365,92,张某,nr,pos,3
1366,92,学,n,pos,4
1373,92,企业,n,pos,6
1386,93,下里巴人,nrt,pos,4
1392,94,小心,n,pos,1
1393,94,厕,ng,pos,2
1396,95,本质,n,pos,1
1399,95,内耗,n,pos,2
1405,95,正义,n,pos,4
1407,95,旗号,n,pos,5
1417,96,公司,n,pos,3
1421,96,和川,nr,pos,4
1426,96,高校,n,pos,6
1427,96,毕业生,n,pos,7
1436,96,问,n,pos,10
1440,96,综合,vn,pos,11
1441,96,评估,vn,pos,12
1447,96,岗位,n,pos,14
1455,96,差,n,pos,16
1456,96,高校,n,pos,17
1457,96,毕业生,n,pos,18
1462,96,学校,n,pos,19
1465,96,能力,n,pos,20
1473,96,毕业,n,pos,21
1474,96,学校,n,pos,22
1477,96,薪资,n,pos,24
1484,96,用人单位,n,pos,26
1489,96,借口,n,pos,29
1495,97,党员,n,pos,1
1503,98,网,n,pos,3
1504,98,蛆,n,pos,4
1506,98,热度,n,pos,6
1514,99,马楼,nr,pos,1
1518,99,河南,ns,pos,4
1519,99,某大学,vn,pos,5
1522,99,肛,n,pos,7
1524,99,事件,n,pos,8
1530,99,公司,n,pos,9
1532,99,热度,n,pos,11
1537,99,马楼,n,pos,15
1544,100,污水,n,pos,3
1549,101,公司,n,pos,2
1551,102,雪崩,n,pos,1
1552,102,时,n,pos,2
1555,102,雪花,n,pos,3
1557,102,无辜,n,pos,4
1574,104,毛病,n,pos,6
1576,105,企业,n,pos,1
1578,105,发文,n,pos,2
1581,106,校长,n,pos,1
1584,107,张薇,nr,pos,2
1587,107,要润,n,pos,3
1590,107,学校,n,pos,4
1598,108,素质,n,pos,1
1600,108,党员,n,pos,2
1602,108,免试,vn,pos,3
1609,108,影响,vn,pos,8
1613,108,东西,ns,pos,10
1617,108,企业,n,pos,12
1618,108,老总,nr,pos,13
1623,109,律师,n,pos,1
1631,109,新闻,n,pos,3
1640,110,校友,n,pos,2
1642,110,对位,n,pos,3
1652,110,学校,n,pos,6
1662,110,群众,n,pos,8
1665,110,对立面,n,pos,10
1671,110,大学,n,pos,11
1672,110,风骨,n,pos,12
1675,111,好事,n,pos,1
1677,112,屎,n,pos,2
1678,112,棍,ng,pos,3
1680,112,牛,n,pos,4
1683,114,遭网,n,pos,1
1687,114,外界,n,pos,4
1689,114,学生,n,pos,5
1690,114,素质,n,pos,6
1699,115,鸡哥,n,pos,3
1701,115,救场,n,pos,4
1703,116,公司,n,pos,2
1709,116,大川,ns,pos,5
1710,116,毕业生,n,pos,6
1716,116,那秀,nr,pos,8
1730,119,犯罪,vn,pos,3
1731,119,史人,n,pos,4
1734,119,道理,n,pos,5
1742,120,企业,n,pos,5
1747,121,代表,n,pos,1
1749,121,公司,n,pos,2
1760,121,通告,n,pos,5
1765,122,网,n,pos,2
1770,122,网,n,pos,5
1772,122,专业,n,pos,7
1776,123,历史学,n,pos,1
1777,123,博士,n,pos,2
1779,123,人品问题,n,pos,3
1793,125,男生,n,pos,3
1794,125,处分,n,pos,4
1795,126,张薇,nr,pos,1
1797,126,网暴,n,pos,2
1800,126,群体,n,pos,4
1803,126,警告,n,pos,5
1814,127,学生,n,pos,3
1820,128,素质,n,pos,2
1823,129,河南大学,nt,pos,1
1834,131,师生,nr,pos,4
1838,131,键盘,n,pos,6
1840,132,热度,n,pos,2
1846,132,正牌,n,pos,3
1850,132,档次,n,pos,6
1852,132,企业,n,pos,7
1871,132,企业,n,pos,12
1874,132,制度,n,pos,13
1875,132,管理,vn,pos,14
1881,132,事,n,pos,17
1882,132,影响,vn,pos,18
1884,132,工作,vn,pos,19
1885,132,制度,n,pos,20
1896,132,影响,vn,pos,25
1899,132,主观,n,pos,27
1900,132,情绪,n,pos,28
1910,132,企业,n,pos,31
1912,132,干部,n,pos,33
1913,132,年轻化,n,pos,34
1921,132,高强度,n,pos,37
1923,132,线,n,pos,38
1926,133,企业,n,pos,1
1929,133,热度,n,pos,3
1943,134,地区,n,pos,3
1946,134,司法,n,pos,4
1947,134,不公,n,pos,5
1948,134,重灾区,n,pos,6
1950,134,原因,n,pos,7
1955,134,当地人,n,pos,8
1956,134,观念,n,pos,9
1958,136,大厂,n,pos,1
1966,138,垃圾,n,pos,1
1969,139,大学,n,pos,2
1975,140,师,ng,pos,3
1982,141,热度,n,pos,3
1987,141,公司,n,pos,4
1990,141,声明,n,pos,6
2001,142,学校,n,pos,1
2004,142,面向,n,pos,2
2005,142,正义,n,pos,3
2009,142,耻辱,n,pos,4
2013,143,公司,n,pos,2
2026,144,工农,n,pos,1
2027,144,兄弟,n,pos,2
2029,144,辱,ng,pos,3
2031,144,国法,n,pos,4
2032,144,党纪,n,pos,5
2037,144,重罚,vn,pos,7
2043,144,重罚,vn,pos,11
2046,144,法纪,n,pos,14
2049,144,重罚,vn,pos,15
2052,144,后来者,n,pos,18
2062,145,考公,n,pos,2
2064,145,垃圾,n,pos,3
2066,145,公司,n,pos,4
2071,146,公关,n,pos,2
2074,146,鸡,n,pos,4
2079,148,热度,n,pos,2
2083,149,思路,n,pos,2
2100,149,外服,n,pos,8
2104,150,时间,n,pos,1
2116,151,博主,n,pos,1
2120,151,韩,nr,pos,5
2121,151,声明,n,pos,6
2132,151,态度,n,pos,8
2137,152,女生,n,pos,2
2141,152,男,n,pos,3
2142,152,犯事,n,pos,4
2143,152,光速,n,pos,5
2146,153,小丑,nr,pos,1
2147,153,学校,n,pos,2
2150,155,素质,n,pos,1
2152,156,教育部,n,pos,1
2156,156,管管,vn,pos,2
2168,157,公司,n,pos,3
2169,157,小企业,n,pos,4
2172,157,热度,n,pos,6
