,index_content,word,nature,content_type,index_word
1333,88,恶心,n,pos,1
1334,90,敌人,n,pos,1
1335,90,越,d,pos,2
1336,90,打越,v,pos,3
1341,91,张,nr,pos,1
1348,91,事件,n,pos,2
1351,91,发现,v,pos,3
1353,91,隐藏,v,pos,4
1357,92,蹭,v,pos,1
1358,92,热度,n,pos,2
1365,92,张某,nr,pos,3
1366,92,学,n,pos,4
1369,92,蹭,v,pos,5
1373,92,企业,n,pos,6
1374,92,蹭,v,pos,7
1377,92,跳脚,v,pos,8
1379,92,搞笑,v,pos,9
1382,93,自罚,v,pos,1
1383,93,三杯,m,pos,2
1385,93,一群,m,pos,3
1386,93,下里巴人,nrt,pos,4
1389,93,敢闹,v,pos,5
1391,93,放肆,d,pos,6
1392,94,小心,n,pos,1
1393,94,厕,ng,pos,2
1395,94,删贴,v,pos,3
1396,95,本质,n,pos,1
1399,95,内耗,n,pos,2
1403,95,打着,v,pos,3
1405,95,正义,n,pos,4
1407,95,旗号,n,pos,5
1408,95,搞,v,pos,6
1410,95,勾当,v,pos,7
1412,96,发声明,l,pos,1
1415,96,耽误,v,pos,2
1417,96,公司,n,pos,3
1421,96,和川,nr,pos,4
1423,96,同等,b,pos,5
1426,96,高校,n,pos,6
1427,96,毕业生,n,pos,7
1432,96,漏掉,v,pos,8
1433,96,川,j,pos,9
1436,96,问,n,pos,10
1440,96,综合,vn,pos,11
1441,96,评估,vn,pos,12
1445,96,适合,v,pos,13
1447,96,岗位,n,pos,14
1451,96,问,v,pos,15
1455,96,差,n,pos,16
1456,96,高校,n,pos,17
1457,96,毕业生,n,pos,18
1462,96,学校,n,pos,19
1465,96,能力,n,pos,20
1473,96,毕业,n,pos,21
1474,96,学校,n,pos,22
1475,96,差,a,pos,23
1477,96,薪资,n,pos,24
1481,96,低,a,pos,25
1484,96,用人单位,n,pos,26
1485,96,真心,d,pos,27
1486,96,不想,v,pos,28
1489,96,借口,n,pos,29
1495,97,党员,n,pos,1
1498,97,查查,v,pos,2
1499,98,闹麻,z,pos,1
1502,98,顺从,p,pos,2
1503,98,网,n,pos,3
1504,98,蛆,n,pos,4
1505,98,蹭,v,pos,5
1506,98,热度,n,pos,6
1507,98,罢,v,pos,7
1509,98,支持,v,pos,8
1510,98,川,j,pos,9
1511,98,带以,v,pos,10
1512,98,强硬态度,l,pos,11
1513,98,对抗,v,pos,12
1514,99,马楼,nr,pos,1
1516,99,前,f,pos,2
1517,99,几年,m,pos,3
1518,99,河南,ns,pos,4
1519,99,某大学,vn,pos,5
1521,99,三口,m,pos,6
1522,99,肛,n,pos,7
1524,99,事件,n,pos,8
1530,99,公司,n,pos,9
1531,99,蹭,v,pos,10
1532,99,热度,n,pos,11
1533,99,罢,v,pos,12
1535,99,过年,t,pos,13
1536,99,网上,s,pos,14
1537,99,马楼,n,pos,15
1540,99,忘,v,pos,16
1541,100,内部,f,pos,1
1542,100,全,a,pos,2
1544,100,污水,n,pos,3
1545,100,浑浊,a,pos,4
1546,100,不堪,v,pos,5
1548,101,多些,r,pos,1
1549,101,公司,n,pos,2
1550,101,发声明,l,pos,3
1551,102,雪崩,n,pos,1
1552,102,时,n,pos,2
1555,102,雪花,n,pos,3
1557,102,无辜,n,pos,4
1558,103,可喜可贺,v,pos,1
1560,103,再接再厉,i,pos,2
1562,104,选,v,pos,1
1563,104,双,m,pos,2
1565,104,留,v,pos,3
1568,104,选,v,pos,4
1570,104,不留,v,pos,5
1574,104,毛病,n,pos,6
1576,105,企业,n,pos,1
1578,105,发文,n,pos,2
1581,106,校长,n,pos,1
1583,107,想不通,l,pos,1
1584,107,张薇,nr,pos,2
1587,107,要润,n,pos,3
1590,107,学校,n,pos,4
1594,107,包庇,v,pos,5
1598,108,素质,n,pos,1
1600,108,党员,n,pos,2
1602,108,免试,vn,pos,3
1603,108,保研,v,pos,4
1605,108,事后,t,pos,5
1606,108,照旧,d,pos,6
1608,108,受,v,pos,7
1609,108,影响,vn,pos,8
1612,108,点,m,pos,9
1613,108,东西,ns,pos,10
1615,108,只能,v,pos,11
1617,108,企业,n,pos,12
1618,108,老总,nr,pos,13
1619,108,干,v,pos,14
1623,109,律师,n,pos,1
1624,109,古代,t,pos,2
1631,109,新闻,n,pos,3
1633,109,奇怪,v,pos,4
1637,110,损害,v,pos,1
1640,110,校友,n,pos,2
1642,110,对位,n,pos,3
1647,110,招,v,pos,4
1650,110,招,v,pos,5
1652,110,学校,n,pos,6
1659,110,员,zg,pos,7
1662,110,群众,n,pos,8
1663,110,走,v,pos,9
1665,110,对立面,n,pos,10
1671,110,大学,n,pos,11
1672,110,风骨,n,pos,12
1675,111,好事,n,pos,1
1676,112,搅,v,pos,1
1677,112,屎,n,pos,2
1678,112,棍,ng,pos,3
1680,112,牛,n,pos,4
1681,113,泰,j,pos,1
1682,113,酷辣,a,pos,2
1683,114,遭网,n,pos,1
1684,114,爆,v,pos,2
1685,114,只能,v,pos,3
1687,114,外界,n,pos,4
1689,114,学生,n,pos,5
1690,114,素质,n,pos,6
1691,114,低下,v,pos,7
1693,114,收,v,pos,8
1696,115,打胎,v,pos,1
1697,115,两年,m,pos,2
1699,115,鸡哥,n,pos,3
1701,115,救场,n,pos,4
1702,116,好多,m,pos,1
1703,116,公司,n,pos,2
1704,116,内部,f,pos,3
1708,116,招,v,pos,4
1709,116,大川,ns,pos,5
1710,116,毕业生,n,pos,6
1715,116,搁,v,pos,7
1716,116,那秀,nr,pos,8
1717,116,优越感,b,pos,9
1721,119,收,v,pos,1
1729,119,收有,v,pos,2
1730,119,犯罪,vn,pos,3
1731,119,史人,n,pos,4
1734,119,道理,n,pos,5
1736,120,爆,v,pos,1
1739,120,爆得,v,pos,2
1740,120,越,d,pos,3
1741,120,厉害,a,pos,4
1742,120,企业,n,pos,5
1743,120,越,d,pos,6
1744,120,讨厌,v,pos,7
1747,121,代表,n,pos,1
1749,121,公司,n,pos,2
1752,121,招,v,pos,3
1759,121,内部,f,pos,4
1760,121,通告,n,pos,5
1762,121,即可,d,pos,6
1764,122,改叫,v,pos,1
1765,122,网,n,pos,2
1766,122,曝大,v,pos,3
1769,122,开设,v,pos,4
1770,122,网,n,pos,5
1771,122,曝,v,pos,6
1772,122,专业,n,pos,7
1776,123,历史学,n,pos,1
1777,123,博士,n,pos,2
1779,123,人品问题,n,pos,3
1780,123,很大,a,pos,4
1781,124,暗拒,v,pos,1
1782,124,肯定,v,pos,2
1787,124,不想,v,pos,3
1790,124,惹麻烦,l,pos,4
1791,125,发纸,v,pos,1
1792,125,尿布,v,pos,2
1793,125,男生,n,pos,3
1794,125,处分,n,pos,4
1795,126,张薇,nr,pos,1
1797,126,网暴,n,pos,2
1798,126,诋毁,v,pos,3
1800,126,群体,n,pos,4
1803,126,警告,n,pos,5
1804,126,真,d,pos,6
1810,127,国企,j,pos,1
1813,127,接受,v,pos,2
1814,127,学生,n,pos,3
1816,128,收,v,pos,1
1820,128,素质,n,pos,2
1821,128,可见一斑,l,pos,3
1823,129,河南大学,nt,pos,1
1824,129,保研,v,pos,2
1829,130,好似,v,pos,1
1830,131,集结,v,pos,1
1831,131,号,m,pos,2
1832,131,吹起来,v,pos,3
1834,131,师生,nr,pos,4
1836,131,每人,r,pos,5
1838,131,键盘,n,pos,6
1839,132,蹭,v,pos,1
1840,132,热度,n,pos,2
1846,132,正牌,n,pos,3
1848,132,真,d,pos,4
1849,132,符合,v,pos,5
1850,132,档次,n,pos,6
1852,132,企业,n,pos,7
1854,132,不招,m,pos,8
1857,132,发函,v,pos,9
1860,132,没准儿,l,pos,10
1863,132,招聘,v,pos,11
1871,132,企业,n,pos,12
1874,132,制度,n,pos,13
1875,132,管理,vn,pos,14
1879,132,受,v,pos,15
1880,132,一件,m,pos,16
1881,132,事,n,pos,17
1882,132,影响,vn,pos,18
1884,132,工作,vn,pos,19
1885,132,制度,n,pos,20
1888,132,负责,v,pos,21
1889,132,招聘,v,pos,22
1894,132,受,v,pos,23
1895,132,不受,v,pos,24
1896,132,影响,vn,pos,25
1898,132,带不带,v,pos,26
1899,132,主观,n,pos,27
1900,132,情绪,n,pos,28
1902,132,不好,d,pos,29
1905,132,特别,d,pos,30
1910,132,企业,n,pos,31
1911,132,追求,v,pos,32
1912,132,干部,n,pos,33
1913,132,年轻化,n,pos,34
1915,132,没准儿,l,pos,35
1920,132,网上,s,pos,36
1921,132,高强度,n,pos,37
1923,132,线,n,pos,38
1926,133,企业,n,pos,1
1928,133,蹭,v,pos,2
1929,133,热度,n,pos,3
1933,133,热,a,pos,4
1934,133,搜,v,pos,5
1940,133,深入人心,i,pos,6
1941,134,川,j,pos,1
1942,134,湘,j,pos,2
1943,134,地区,n,pos,3
1946,134,司法,n,pos,4
1947,134,不公,n,pos,5
1948,134,重灾区,n,pos,6
1950,134,原因,n,pos,7
